combo,split,MSE,RMSE,SNR_dB,RRMSE,Spectral_Loss
emg,train,0.43491348487190123,0.6396132426557577,-2.6911732020866563,1.65422839682639,139.7521182513838
emg,val,0.4393598660190658,0.6444906657668082,-2.783104464855146,1.6700499632868693,141.7313785005303
emg,test,0.43020885937426867,0.6364933091106626,-2.6643803943386297,1.6467244986213943,137.7294700700625
eog,train,0.7251011543196676,0.8379655872614502,-5.087447081239365,2.2033336526236353,264.95455410357033
eog,val,0.7288710334513774,0.8394908242258161,-5.084175242505092,2.202960868751395,265.5375589332665
eog,test,0.7160530917412412,0.8328446548364468,-5.086817847957126,2.2032573400213655,266.5362162982468
ecg,train,1.4978623000188436,1.1235380597125029,-5.0789814510076186,2.2021008703276843,636.9979456406886
ecg,val,1.4859828074101333,1.1189095982993897,-5.078048139125183,2.2019365272474394,626.9211211566121
ecg,test,1.4812345435793421,1.1209797295485393,-5.079102149708361,2.2021160774526343,629.3618899438234
emg_eog,train,0.6502411975635448,0.7995081624493855,-7.023573636056198,2.7421462422756235,230.44683547758126
emg_eog,val,0.6628962286493995,0.8071729089460146,-7.113588235292897,2.775189400684014,237.20623944403062
emg_eog,test,0.6561006958340913,0.803305733519765,-7.052984585597199,2.7517746256516045,231.09226947126135
emg_ecg,train,0.8111612581473842,0.887290107374555,-7.01239693631566,2.736451157235069,303.0118404758171
emg_ecg,val,0.8320701866218626,0.8980928978485507,-7.010573272270118,2.737006092415152,313.7134604418093
emg_ecg,test,0.8117128606852705,0.8876583762429554,-7.022626006487006,2.7402995999012374,306.3645554550981
eog_ecg,train,1.0442492889445167,1.0059421669680402,-8.00566569713618,3.1008751106985186,409.8157683609926
eog_ecg,val,1.0430267593482645,1.0056149415097675,-8.010503437393151,3.102252096664615,409.524197248979
eog_ecg,test,1.040170613135648,1.0044627425607953,-8.003011225705333,3.100020173231585,406.6825608177523
emg_eog_ecg,train,0.860832162494806,0.920387727012053,-9.094598822820231,3.4980125122620307,327.0189212457852
emg_eog_ecg,val,0.8506777458405019,0.9147365221200764,-9.079914772678569,3.493395431990634,323.12713564177045
emg_eog_ecg,test,0.8601906348184675,0.919735677524434,-9.043700868920093,3.476065245864138,326.9620719065708
